artist_name,artist_name_clean,artist_name_underscore,artist_name_query,artist_name_dash
30 Seconds to Mars,30 Seconds to Mars,30_seconds_to_mars,30+seconds+to+mars,30-seconds-to-mars
Mana,Mana,mana,mana,mana
Yellowcard,Yellowcard,yellowcard,yellowcard,yellowcard
Carly Rae Jepsen,Carly Rae Jepsen,carly_rae_jepsen,carly+rae+jepsen,carly-rae-jepsen
Gotye,Gotye,gotye,gotye,gotye
Fun.,Fun.,fun.,fun.,fun.
PSY,PSY,psy,psy,psy
Ellie Goulding,Ellie Goulding,ellie_goulding,ellie+goulding,ellie-goulding
"Lumineers, The",The Lumineers,the_lumineers,the+lumineers,the-lumineers
"Wanted, The",The Wanted,the_wanted,the+wanted,the-wanted
Whitney Houston,Whitney Houston,whitney_houston,whitney+houston,whitney-houston
One Direction,One Direction,one_direction,one+direction,one-direction
Alex Clare,Alex Clare,alex_clare,alex+clare,alex-clare
Jason Mraz,Jason Mraz,jason_mraz,jason+mraz,jason-mraz
Madonna,Madonna,madonna,madonna,madonna
Calvin Harris,Calvin Harris,calvin_harris,calvin+harris,calvin-harris
Cher Lloyd,Cher Lloyd,cher_lloyd,cher+lloyd,cher-lloyd
Florida Georgia Line,Florida Georgia Line,florida_georgia_line,florida+georgia+line,florida-georgia-line
Hunter Hayes,Hunter Hayes,hunter_hayes,hunter+hayes,hunter-hayes
Karmin,Karmin,karmin,karmin,karmin
Kendrick Lamar,Kendrick Lamar,kendrick_lamar,kendrick+lamar,kendrick-lamar
Gavin DeGraw,Gavin DeGraw,gavin_degraw,gavin+degraw,gavin-degraw
2 Chainz,2 Chainz,2_chainz,2+chainz,2-chainz
Cassadee Pope,Cassadee Pope,cassadee_pope,cassadee+pope,cassadee-pope
Havana Brown,Havana Brown,havana_brown,havana+brown,havana-brown
Kirko Bangz,Kirko Bangz,kirko_bangz,kirko+bangz,kirko-bangz
Juicy J,Juicy J,juicy_j,juicy+j,juicy-j
Kip Moore,Kip Moore,kip_moore,kip+moore,kip-moore
Love And Theft,Love And Theft,love_and_theft,love+and+theft,love-and-theft
Breathe Carolina,Breathe Carolina,breathe_carolina,breathe+carolina,breathe-carolina
Gloriana,Gloriana,gloriana,gloriana,gloriana
No Doubt,No Doubt,no_doubt,no+doubt,no-doubt
Ca$h Out,Ca$h Out,ca$h_out,ca$h+out,ca$h-out
French Montana,French Montana,french_montana,french+montana,french-montana
Outasight,Outasight,outasight,outasight,outasight
Dustin Lynch,Dustin Lynch,dustin_lynch,dustin+lynch,dustin-lynch
Matchbox 20,Matchbox 20,matchbox_20,matchbox+20,matchbox-20
"Fray, The",The Fray,the_fray,the+fray,the-fray
LoveRance,LoveRance,loverance,loverance,loverance
Future,Future,future,future,future
Meek Mill,Meek Mill,meek_mill,meek+mill,meek-mill
Tamar Braxton,Tamar Braxton,tamar_braxton,tamar+braxton,tamar-braxton
Tony Lucca,Tony Lucca,tony_lucca,tony+lucca,tony-lucca
Avicii,Avicii,avicii,avicii,avicii
Rita Ora,Rita Ora,rita_ora,rita+ora,rita-ora
Brandy,Brandy,brandy,brandy,brandy
Greg Bates,Greg Bates,greg_bates,greg+bates,greg-bates
Van Halen,Van Halen,van_halen,van+halen,van-halen
Skrillex,Skrillex,skrillex,skrillex,skrillex
Nero,Nero,nero,nero,nero
Juliet Simms,Juliet Simms,juliet_simms,juliet+simms,juliet-simms
Terry McDermott,Terry McDermott,terry_mcdermott,terry+mcdermott,terry-mcdermott
Montgomery Gentry,Montgomery Gentry,montgomery_gentry,montgomery+gentry,montgomery-gentry
M83.,M83.,m83.,m83.,m83.
Driicky Graham,Driicky Graham,driicky_graham,driicky+graham,driicky-graham
Chief Keef,Chief Keef,chief_keef,chief+keef,chief-keef
John Legend,John Legend,john_legend,john+legend,john-legend
Diggy,Diggy,diggy,diggy,diggy
Fat Joe,Fat Joe,fat_joe,fat+joe,fat-joe
