Miranda Lambert ,Miranda Lambert ,,,,,Little Red Wagon,81,78,72,69,,,,,,,,,,,
Kevin Gates Featuring August Alsina ,Kevin Gates ,August Alsina ,,,,I Dont Get Tired (#IDGT),,,,99,90,91,99,100,96,95,96,96,,,
Chedda Da Connect ,Chedda Da Connect ,,,,,Flicka Da Wrist,,,,,94,98,,,100,,,98,,,
Drake ,Drake ,,,,,Legend,74,73,90,94,95,,,,,,,,,,
Meghan Trainor Featuring John Legend ,Meghan Trainor ,John Legend ,,,,Like Im Gonna Lose You,,,,,,,,,,,,,,,95
Brad Paisley ,Brad Paisley ,,,,,Crushin It,,,,,98,96,100,96,83,79,77,72,69,70,68
Tori Kelly ,Tori Kelly ,,,,,Nobody Love,66,66,69,67,60,95,,,,,,,,,
Jason Aldean ,Jason Aldean ,,,,,Tonight Looks Good On You,,,,,96,88,97,94,74,66,56,51,52,52,53
Flo Rida Featuring Sage The Gemini &amp; Lookas ,Flo Rida ,Sage The Gemini ,Lookas ,,,G.D.F.R.,8,8,9,9,11,10,14,21,28,32,38,41,44,47,47
Drake ,Drake ,,,,,10 Bands,82,75,82,89,92,100,,,,,,,,,
Sam Hunt ,Sam Hunt ,,,,,House Party,,,,,,,,,,85,65,52,48,45,41
Blake Shelton ,Blake Shelton ,,,,,Sangria,,,93,64,44,46,43,43,40,39,40,39,38,39,40
Omarion Featuring Chris Brown &amp; Jhene Aiko ,Omarion ,Chris Brown ,Jhene Aiko ,,,Post To Be,22,16,15,13,13,14,15,15,14,16,17,21,20,20,21
Calvin Harris Featuring Ellie Goulding ,Calvin Harris ,Ellie Goulding ,,,,Outside,32,46,51,62,,,,,,,,,,,
Rihanna ,Rihanna ,,,,,American Oxygen,,,91,78,91,97,,,,,,,,,
Sam Hunt ,Sam Hunt ,,,,,Take Your Time,23,22,21,23,27,30,33,41,37,35,33,32,35,37,37
Andy Grammer ,Andy Grammer ,,,,,"Honey, Im Good.",45,34,31,28,17,18,12,12,11,9,10,9,11,11,11
Meek Mill Featuring Drake ,Meek Mill ,Drake ,,,,R.I.C.O.,,,,,,,,,,,,,,57,43
Fetty Wap Featuring Remy Boyz ,Fetty Wap ,Remy Boyz ,,,,679,,,,,,,,,,,,,,34,19
Mark Ronson Featuring Bruno Mars ,Mark Ronson ,Bruno Mars ,,,,Uptown Funk!,1,2,2,2,3,4,5,6,5,6,6,6,8,12,13
Tech N9Ne Featuring 2 Chainz &amp; B.o.B ,Tech N9Ne ,2 Chainz ,B.o.B ,,,Hood Go Crazy,,,,,,,,,,96,90,91,91,93,93
Fall Out Boy ,Fall Out Boy ,,,,,Centuries,35,40,46,47,49,,,,,,,,,,
Luke Bryan ,Luke Bryan ,,,,,Kick The Dust Up,,,,,,,,26,41,41,37,36,37,38,34
Lee Brice ,Lee Brice ,,,,,Drinking Class,,,56,53,,,,,,,,,,,
twenty one pilots ,twenty one pilots ,,,,,Tear In My Heart,,82,,,,,,,,,100,97,98,99,97
Old Dominion ,Old Dominion ,,,,,Break Up With Him,,,,,,,,,,,,,,,99
Skrillex &amp; Diplo Featuring Justin Bieber ,Skrillex ,Diplo ,Justin Bieber ,,,Where Are U Now,64,42,40,37,30,24,22,20,17,19,16,15,17,8,9
George Ezra ,George Ezra ,,,,,Budapest,46,43,45,42,37,34,32,35,32,34,36,33,36,49,
Fetty Wap ,Fetty Wap ,,,,,My Way,,,,,,,,,,,,,,98,
Darius Rucker ,Darius Rucker ,,,,,Homegrown Honey,62,81,,,,,,,,,,,,,
Sheppard ,Sheppard ,,,,,Geronimo,63,63,64,59,53,55,54,,,,,,,,
Young Thug ,Young Thug ,,,,,Check,,,,,,,,,,,,,100,,
Miguel ,Miguel ,,,,,Coffee,,,,,,78,,,,,,95,,89,
The Weeknd ,The Weeknd ,,,,,Cant Feel My Face,,,,,,,,,,,24,12,6,6,3
Meghan Linsey ,Meghan Linsey ,,,,,Change My Mind,,,,,,,,92,,,,,,,
Luke Bryan ,Luke Bryan ,,,,,Games,,,,,99,92,98,99,,,,,,,
Panic! At The Disco ,Panic! At The Disco ,,,,,Hallelujah,,,,40,,,,,,,,,,,
Rich Homie Quan ,Rich Homie Quan ,,,,,Flex (Ooh Ooh Ooh),,,,96,66,62,62,44,31,30,27,26,29,29,31
Meghan Trainor ,Meghan Trainor ,,,,,Lips Are Movin,33,33,36,41,42,48,,,,,,,,,
Eminem ,Eminem ,,,,,Phenomenal,,,,,,,,,,47,,,,,
Nate Ruess ,Nate Ruess ,,,,,Nothing Without Love,,,,77,89,94,87,,,,,,,,
Easton Corbin ,Easton Corbin ,,,,,Baby Be My Love Song,,99,97,90,81,79,89,81,65,63,62,58,58,56,63
Demi Lovato ,Demi Lovato ,,,,,Cool For The Summer,,,,,,,,,,,,,,36,28
twenty one pilots ,twenty one pilots ,,,,,Stressed Out,,,,,87,,,97,,,,,,,
Hozier ,Hozier ,,,,,Take Me To Church,21,23,26,31,35,38,39,48,,,,,,,
Michael Ray ,Michael Ray ,,,,,Kiss You In The Morning,,,,,,,,,94,87,81,76,70,66,66
Elle King ,Elle King ,,,,,Exs &amp; Ohs,,,,,,,,,,,,,,,96
Dillon Francis &amp; DJ Snake ,Dillon Francis ,DJ Snake ,,,,Get Low,77,61,74,79,84,86,96,95,,100,,,,,
"Shaggy Featuring Mohombi, Faydee, Costi ",Shaggy ,Mohombi,Faydee,Costi ,,I Need Your Love,,,,,,87,84,73,66,71,73,78,92,,
Silento ,Silento ,,,,,Watch Me,60,54,54,45,38,33,27,25,19,15,11,11,7,3,5
Jamie Foxx Featuring Chris Brown ,Jamie Foxx ,Chris Brown ,,,,You Changed Me,,,,,,,,,93,98,,,,,
J. Cole ,J. Cole ,,,,,Apparently,99,,,,,,,,,,,,,,
