artist_name	id
Big Joe & The Dynaflows	92529015
Big K.R.I.T.	137107219
Big Lazy	15698255
The Big Pink	112102028
Big Sandy and His Fly-Rite Boys	17080482
Big Star	15190811
Barney Bigard	16016443
Bigg Jus	15278484
Bikini Kill	106311747
Bilal	129348255
Philip Bimstein	16521751
Binary System	15670739
Bing & Ruth	356100143
Ryan Bingham	19058574
David Binney	127601410
Benjamin Biolay	16126653
Fabio Biondi	17456648
Diane Birch	105373612
Bird and the Bee	15343965
Andrew Bird	14865321
Birdlips	92815267
Birdmonster	95441892
Bishop Allen	15367020
Elvin Bishop	15396525
Andy Biskin	15279702
Jonathan Biss	121071227
Georges Bizet	91705655
Bjork	15191158
Aloe Blacc	15333117
The Black Angels	15331131
The Black Crowes	89374015
Black Eyed Peas	15124593
Black 47	17092178
The Black Keys	15193815
Black Kids	18538349
Black Lips	100814140
Black Milk	129588656
Black Moth Super Rainbow	15395338
Black Mountain	18743616
Black Prairie	125139379
Black Rebel Motorcycle Club	14862946
Black Sabbath	123664999
The Black Seeds	127601645
Black Sheep	15403027
Clint Black	17087014
Jeff Black	15403518
Mary Black	15773339
Blackalicious	15196127
Blacklisted	381938509
Cindy Blackman	15192584
James Blackshaw	92626574
Otis Blackwell	15741323
Brian Blade	90467985
Ruben Blades	15283727
Hal Blaine and the Young Cougars	15405903
James Blake	134005493
John Blake	93829046
Ran Blake	103362256
Seamus Blake	143175244
Shelly Blake	130244076
Art Blakey	14996546
Terence Blanchard	14864421
Lucy Bland	90256329
Jimmy Blanton	135351003
Sarah Blasko	129230620
Blazin' Fiddles	17087537
Rafal Blechacz	16051607
Theo Bleckmann	92134774
Carla Bley	15284948
Paul Bley	92366136
Mary J. Blige	15285185
Blind Faith	15440275
Blind Man's Colour	112102024
Blind Pilot	92181135
Blind Zero	16527405
Blitz the Ambassador	128219329
Blitzen Trapper	17094779
Blk Jks	101341482
Bloc Party	15396228
Block	15328806
Rory Block	16337402
Blonde Redhead	15396109
Blood Orange	232159752
Jane Ira Bloom	87942215
Kath Bloom	105816913
Luka Bloom	17091174
Blow Up Hollywood	17080068
The Blow	15396995
Kurtis Blow	111709489
Blue Highway	15402196
Blue Man Group	17085062
Blue Mountain	16296367
The Blue Note 7	102778509
Blue Scholars	16070839
The Blue Shadows	128187037
Blue Skies for Black Hearts	91836387
Hamiet Bluiett	129938204
Blur	93878453
The Bo-Keys	16214526
Maga Bo	145844107
Boards of Canada	16131385
Boat	17079995
Bob & Gene	15396136
Bob Brozman	15661586
Boban & Marko Markovic Orchestra	156490777
Eric Bobo	100276624
Willie Bobo	104604597
Rogerio Boccato	127601419
Andrea Bocelli	15808806
